utc,terrestrial,thunderstorm,cosmic
2023-05-23 07:40:00,83.7,3.35,5.4
2023-05-23 07:40:20,81.5,3.45,5.45
2023-05-23 07:40:40,83.35,4.25,5.8
2023-05-23 07:41:00,83.0,4.05,6.05
2023-05-23 07:41:20,84.05,3.7,5.6
2023-05-23 07:41:40,84.3,3.7,6.6
2023-05-23 07:42:00,86.9,4.55,5.1
2023-05-23 07:42:20,81.95,3.65,6.05
2023-05-23 07:42:40,84.35,3.65,5.85
2023-05-23 07:43:00,80.2,3.9,7.45
2023-05-23 07:43:20,80.55,3.85,6.3
2023-05-23 07:43:40,82.75,4.0,6.5
2023-05-23 07:44:00,82.3,3.55,5.55
2023-05-23 07:44:20,79.6,4.2,6.2
2023-05-23 07:44:40,79.35,4.4,5.5
2023-05-23 07:45:00,83.25,3.75,5.45
2023-05-23 07:45:20,81.1,3.85,5.8
2023-05-23 07:45:40,80.35,3.75,6.0
2023-05-23 07:46:00,82.5,3.4,7.1
2023-05-23 07:46:20,83.7,3.95,4.75
2023-05-23 07:46:40,80.8,4.5,5.55
2023-05-23 07:47:00,80.2,4.2,6.25
2023-05-23 07:47:20,79.8,3.15,6.85
2023-05-23 07:47:40,78.8,3.35,6.05
2023-05-23 07:48:00,82.6,3.65,5.55
2023-05-23 07:48:20,81.15,2.8,5.75
2023-05-23 07:48:40,80.2,3.6,6.45
2023-05-23 07:49:00,81.65,4.45,5.9
2023-05-23 07:49:20,80.1,3.4,6.2
2023-05-23 07:49:40,81.05,3.3,6.45
2023-05-23 07:50:00,79.35,3.75,5.15
2023-05-23 07:50:20,78.7,4.4,5.95
2023-05-23 07:50:40,75.55,4.4,6.55
2023-05-23 07:51:00,81.0,3.85,6.05
2023-05-23 07:51:20,77.5,2.9,5.75
2023-05-23 07:51:40,78.75,4.15,6.0
2023-05-23 07:52:00,79.3,3.75,6.0
2023-05-23 07:52:20,78.0,3.95,5.05
2023-05-23 07:52:40,75.35,3.65,5.35
2023-05-23 07:53:00,76.15,3.85,6.3
2023-05-23 07:53:20,74.3,3.75,5.25
2023-05-23 07:53:40,81.1,3.15,5.85
2023-05-23 07:54:00,76.9,3.65,6.1
2023-05-23 07:54:20,80.55,4.0,5.6
2023-05-23 07:54:40,74.65,4.15,6.25
2023-05-23 07:55:00,78.2,3.4,4.8
2023-05-23 07:55:20,77.0,3.0,6.45
2023-05-23 07:55:40,77.2,3.35,5.3
2023-05-23 07:56:00,77.25,3.65,6.25
2023-05-23 07:56:20,75.25,3.3,5.9
2023-05-23 07:56:40,77.55,4.0,6.2
2023-05-23 07:57:00,78.5,3.25,5.65
2023-05-23 07:57:20,76.35,3.25,6.3
2023-05-23 07:57:40,71.1,3.65,5.25
2023-05-23 07:58:00,77.65,4.45,6.2
2023-05-23 07:58:20,77.45,4.0,6.55
2023-05-23 07:58:40,78.6,3.85,5.85
2023-05-23 07:59:00,75.0,4.0,5.15
2023-05-23 07:59:20,77.55,3.65,6.15
2023-05-23 07:59:40,77.1,3.6,5.7
2023-05-23 08:00:00,76.35,3.75,6.0
2023-05-23 08:00:20,76.95,3.4,6.0
2023-05-23 08:00:40,72.6,3.45,5.7
2023-05-23 08:01:00,72.45,3.2,5.85
2023-05-23 08:01:20,77.35,4.5,6.8
2023-05-23 08:01:40,77.2,4.0,6.65
2023-05-23 08:02:00,75.7,4.3,5.25
2023-05-23 08:02:20,72.9,3.85,5.95
2023-05-23 08:02:40,71.5,4.9,5.7
2023-05-23 08:03:00,73.05,3.5,5.85
2023-05-23 08:03:20,71.95,4.55,5.7
2023-05-23 08:03:40,71.9,3.2,5.15
2023-05-23 08:04:00,73.4,3.8,6.0
2023-05-23 08:04:20,75.5,3.65,6.35
2023-05-23 08:04:40,73.5,3.95,6.05
2023-05-23 08:05:00,71.7,3.05,5.9
2023-05-23 08:05:20,71.85,2.85,5.6
2023-05-23 08:05:40,71.1,3.9,6.3
2023-05-23 08:06:00,73.7,3.65,6.65
2023-05-23 08:06:20,72.7,3.95,6.1
2023-05-23 08:06:40,73.3,3.6,6.25
2023-05-23 08:07:00,72.2,3.9,5.85
2023-05-23 08:07:20,71.5,3.3,5.65
2023-05-23 08:07:40,69.7,4.4,6.7
2023-05-23 08:08:00,74.1,3.65,5.7
2023-05-23 08:08:20,69.05,3.65,6.8
2023-05-23 08:08:40,68.0,4.0,6.6
2023-05-23 08:09:00,74.75,3.55,4.8
2023-05-23 08:09:20,71.7,3.3,5.85
2023-05-23 08:09:40,68.15,4.85,6.65
2023-05-23 08:10:00,70.5,3.75,5.3
2023-05-23 08:10:20,70.9,4.15,5.8
2023-05-23 08:10:40,69.05,3.45,6.35
2023-05-23 08:11:00,72.7,3.45,5.75
2023-05-23 08:11:20,68.7,3.45,5.65
2023-05-23 08:11:40,69.05,3.8,4.8
2023-05-23 08:12:00,72.25,4.05,5.55
2023-05-23 08:12:20,69.6,3.6,6.1
2023-05-23 08:12:40,71.0,4.15,6.1
2023-05-23 08:13:00,71.6,4.15,5.0
2023-05-23 08:13:20,68.45,3.9,5.65
2023-05-23 08:13:40,69.05,3.45,5.45
2023-05-23 08:14:00,70.5,4.15,6.75
2023-05-23 08:14:20,69.75,3.8,5.05
2023-05-23 08:14:40,69.45,4.9,6.4
2023-05-23 08:15:00,68.65,3.7,5.65
2023-05-23 08:15:20,69.75,3.85,6.75
2023-05-23 08:15:40,71.1,3.45,6.6
2023-05-23 08:16:00,70.1,3.25,5.9
2023-05-23 08:16:20,71.45,3.65,6.05
2023-05-23 08:16:40,69.15,3.45,5.95
2023-05-23 08:17:00,68.8,3.75,5.85
2023-05-23 08:17:20,68.15,3.35,5.0
2023-05-23 08:17:40,70.0,3.8,5.25
2023-05-23 08:18:00,70.55,3.5,5.5
2023-05-23 08:18:20,68.75,3.35,5.6
2023-05-23 08:18:40,68.05,3.45,5.15
2023-05-23 08:19:00,71.05,4.0,5.65
2023-05-23 08:19:20,68.9,3.95,5.55
2023-05-23 08:19:40,66.75,3.35,7.0
2023-05-23 08:20:00,64.7,3.6,4.85
2023-05-23 08:20:20,68.65,2.75,6.0
2023-05-23 08:20:40,68.2,3.85,6.4
2023-05-23 08:21:00,69.55,4.3,6.55
2023-05-23 08:21:20,68.95,4.0,5.7
2023-05-23 08:21:40,64.2,3.9,6.25
2023-05-23 08:22:00,68.1,3.8,5.5
2023-05-23 08:22:20,65.45,3.9,5.45
2023-05-23 08:22:40,67.25,4.0,5.35
2023-05-23 08:23:00,65.3,3.7,5.35
2023-05-23 08:23:20,67.25,2.75,6.1
2023-05-23 08:23:40,69.0,3.3,5.9
2023-05-23 08:24:00,68.3,3.2,4.95
2023-05-23 08:24:20,65.3,3.7,5.8
2023-05-23 08:24:40,66.9,3.85,5.15
2023-05-23 08:25:00,69.0,3.8,6.05
2023-05-23 08:25:20,67.0,3.5,5.45
2023-05-23 08:25:40,65.2,4.2,5.3
2023-05-23 08:26:00,65.5,3.7,5.8
2023-05-23 08:26:20,68.9,4.45,6.45
2023-05-23 08:26:40,66.1,3.4,6.1
2023-05-23 08:27:00,67.35,3.6,5.8
2023-05-23 08:27:20,64.35,3.95,6.65
2023-05-23 08:27:40,63.15,3.9,5.05
2023-05-23 08:28:00,66.6,3.65,6.5
2023-05-23 08:28:20,64.65,3.95,6.2
2023-05-23 08:28:40,66.8,3.85,6.0
2023-05-23 08:29:00,68.3,4.05,6.0
2023-05-23 08:29:20,66.05,3.5,5.45
2023-05-23 08:29:40,64.7,4.05,6.35
2023-05-23 08:30:00,64.6,4.6,5.8
2023-05-23 08:30:20,65.9,3.7,6.2
2023-05-23 08:30:40,64.4,3.55,6.25
2023-05-23 08:31:00,65.35,4.4,5.3
2023-05-23 08:31:20,66.15,3.95,5.95
2023-05-23 08:31:40,65.6,4.4,5.7
2023-05-23 08:32:00,64.15,4.1,7.35
2023-05-23 08:32:20,65.65,3.65,6.2
2023-05-23 08:32:40,63.0,3.55,5.4
2023-05-23 08:33:00,63.55,3.3,6.8
2023-05-23 08:33:20,67.05,3.65,5.4
2023-05-23 08:33:40,69.0,3.35,5.75
2023-05-23 08:34:00,66.1,4.05,5.9
2023-05-23 08:34:20,64.75,4.8,6.2
2023-05-23 08:34:40,62.85,4.05,6.2
2023-05-23 08:35:00,63.75,3.9,6.2
2023-05-23 08:35:20,65.1,4.25,4.9
2023-05-23 08:35:40,64.75,3.55,5.5
2023-05-23 08:36:00,59.95,3.25,6.2
2023-05-23 08:36:20,65.3,4.25,5.7
2023-05-23 08:36:40,63.05,3.3,6.3
2023-05-23 08:37:00,63.35,3.8,5.55
2023-05-23 08:37:20,64.4,3.9,6.5
2023-05-23 08:37:40,59.45,3.65,6.95
2023-05-23 08:38:00,67.35,4.6,7.15
2023-05-23 08:38:20,67.65,3.4,5.1
2023-05-23 08:38:40,64.75,4.0,6.25
2023-05-23 08:39:00,67.35,3.85,5.25
2023-05-23 08:39:20,62.45,4.1,6.7
2023-05-23 08:39:40,60.7,3.9,5.9
2023-05-23 08:40:00,64.75,3.45,5.5
2023-05-23 08:40:20,61.95,3.8,5.85
2023-05-23 08:40:40,62.8,3.75,6.1
2023-05-23 08:41:00,62.55,3.75,5.15
2023-05-23 08:41:20,62.0,4.25,6.25
2023-05-23 08:41:40,65.3,3.4,5.55
2023-05-23 08:42:00,63.7,2.8,5.8
2023-05-23 08:42:20,64.4,3.6,5.8
2023-05-23 08:42:40,64.0,3.35,5.95
2023-05-23 08:43:00,60.8,3.8,6.6
2023-05-23 08:43:20,61.05,4.05,5.75
2023-05-23 08:43:40,63.15,3.75,4.9
2023-05-23 08:44:00,64.9,3.55,5.65
2023-05-23 08:44:20,61.75,3.2,5.6
2023-05-23 08:44:40,61.55,3.85,5.6
2023-05-23 08:45:00,64.05,3.65,6.4
2023-05-23 08:45:20,62.8,4.25,6.1
2023-05-23 08:45:40,59.05,3.95,5.45
2023-05-23 08:46:00,63.3,3.6,5.65
2023-05-23 08:46:20,62.0,2.8,5.7
2023-05-23 08:46:40,63.3,4.45,5.75
2023-05-23 08:47:00,62.7,3.55,6.3
2023-05-23 08:47:20,61.4,5.1,7.1
2023-05-23 08:47:40,60.8,3.85,5.9
2023-05-23 08:48:00,62.75,3.75,5.6
2023-05-23 08:48:20,61.3,3.95,6.45
2023-05-23 08:48:40,61.45,3.6,6.55
2023-05-23 08:49:00,64.2,4.0,5.9
2023-05-23 08:49:20,63.1,3.95,5.5
2023-05-23 08:49:40,61.05,3.95,6.0
2023-05-23 08:50:00,62.9,4.1,4.5
2023-05-23 08:50:20,58.85,4.05,6.3
2023-05-23 08:50:40,60.3,4.05,5.25
2023-05-23 08:51:00,60.9,3.95,6.0
2023-05-23 08:51:20,64.05,3.55,5.65
2023-05-23 08:51:40,60.0,4.0,5.85
2023-05-23 08:52:00,63.15,3.85,5.5
2023-05-23 08:52:20,59.25,3.7,5.95
2023-05-23 08:52:40,59.2,4.35,5.35
2023-05-23 08:53:00,60.2,3.85,5.45
2023-05-23 08:53:20,63.05,3.5,6.1
2023-05-23 08:53:40,59.6,3.85,6.35
2023-05-23 08:54:00,62.1,3.8,6.05
2023-05-23 08:54:20,60.55,4.3,6.45
2023-05-23 08:54:40,61.4,2.85,6.25
2023-05-23 08:55:00,62.6,3.55,6.3
2023-05-23 08:55:20,60.65,4.3,5.7
2023-05-23 08:55:40,62.35,3.65,5.05
2023-05-23 08:56:00,58.75,4.65,5.5
2023-05-23 08:56:20,61.55,4.4,5.3
2023-05-23 08:56:40,62.7,4.05,5.8
2023-05-23 08:57:00,63.65,3.95,5.75
2023-05-23 08:57:20,60.15,4.25,5.8
2023-05-23 08:57:40,57.45,3.65,5.95
2023-05-23 08:58:00,60.9,3.3,5.1
2023-05-23 08:58:20,60.35,3.95,5.75
2023-05-23 08:58:40,59.8,4.0,5.4
2023-05-23 08:59:00,60.2,3.05,5.75
2023-05-23 08:59:20,60.35,3.5,5.55
2023-05-23 08:59:40,58.6,3.55,6.1
2023-05-23 09:00:00,57.15,4.2,5.7
2023-05-23 09:00:20,61.25,4.55,6.05
2023-05-23 09:00:40,59.05,3.95,5.8
2023-05-23 09:01:00,59.85,4.1,6.3
2023-05-23 09:01:20,60.5,3.9,5.45
2023-05-23 09:01:40,59.95,4.75,5.55
2023-05-23 09:02:00,56.6,4.5,5.6
2023-05-23 09:02:20,57.6,3.25,5.5
2023-05-23 09:02:40,60.8,3.85,5.15
2023-05-23 09:03:00,59.8,4.05,6.4
2023-05-23 09:03:20,59.45,4.2,6.05
2023-05-23 09:03:40,58.5,4.55,6.85
2023-05-23 09:04:00,54.6,3.95,5.4
2023-05-23 09:04:20,55.5,3.65,6.2
2023-05-23 09:04:40,60.1,3.5,6.1
2023-05-23 09:05:00,62.6,4.9,6.5
2023-05-23 09:05:20,59.9,4.0,6.1
2023-05-23 09:05:40,60.2,3.95,6.45
2023-05-23 09:06:00,58.3,3.6,5.15
2023-05-23 09:06:20,57.2,3.65,7.25
2023-05-23 09:06:40,57.65,3.6,6.2
2023-05-23 09:07:00,60.7,4.5,5.8
2023-05-23 09:07:20,55.3,3.6,5.65
2023-05-23 09:07:40,60.6,3.15,6.25
2023-05-23 09:08:00,58.35,3.65,6.05
2023-05-23 09:08:20,56.9,4.0,4.95
2023-05-23 09:08:40,58.7,3.95,5.85
2023-05-23 09:09:00,61.7,4.6,5.85
2023-05-23 09:09:20,60.3,3.2,5.65
2023-05-23 09:09:40,58.15,4.0,6.15
2023-05-23 09:10:00,59.6,3.5,6.15
2023-05-23 09:10:20,60.7,3.7,6.3
2023-05-23 09:10:40,59.25,3.75,6.0
2023-05-23 09:11:00,56.9,4.65,6.05
2023-05-23 09:11:20,56.8,3.55,5.25
2023-05-23 09:11:40,59.9,4.05,5.35
2023-05-23 09:12:00,60.6,3.65,5.6
2023-05-23 09:12:20,57.5,3.9,5.55
2023-05-23 09:12:40,60.25,3.2,6.1
2023-05-23 09:13:00,59.8,3.15,6.35
2023-05-23 09:13:20,58.6,4.2,6.3
2023-05-23 09:13:40,59.5,3.7,6.15
2023-05-23 09:14:00,59.0,3.45,6.15
2023-05-23 09:14:20,55.1,4.05,4.55
2023-05-23 09:14:40,58.2,3.45,4.85
2023-05-23 09:15:00,55.05,3.3,6.6
2023-05-23 09:15:20,59.3,4.0,5.65
2023-05-23 09:15:40,56.45,4.2,6.3
2023-05-23 09:16:00,56.7,4.6,5.9
2023-05-23 09:16:20,58.45,4.1,5.95
2023-05-23 09:16:40,57.1,3.25,5.55
2023-05-23 09:17:00,58.7,3.45,4.95
2023-05-23 09:17:20,61.45,4.0,5.95
2023-05-23 09:17:40,56.8,3.8,6.0
2023-05-23 09:18:00,57.65,2.7,6.2
2023-05-23 09:18:20,54.25,3.75,5.8
2023-05-23 09:18:40,57.5,3.65,6.25
2023-05-23 09:19:00,57.05,4.15,6.1
2023-05-23 09:19:20,56.7,3.75,6.6
2023-05-23 09:19:40,58.6,4.15,5.4
2023-05-23 09:20:00,58.95,3.45,5.55
2023-05-23 09:20:20,18.0,1.15,2.1
